episode,total_reward
0,-33.74625124008016
1,-17.142174900669346
2,-27.94073305713777
3,-33.09024502217805
4,-26.781015854114973
5,-20.489556029968945
6,-26.468299804892375
7,-25.746136744270874
8,-33.744824142630556
9,-29.735668964841473
10,-22.957916390661687
11,-32.922643384078924
12,-22.93921016160853
13,-31.029660490035866
14,-30.502682822265122
15,-24.59857857781055
16,-30.245243269921538
17,-23.22612943139052
18,-23.182010925318693
19,-35.243628794569155
20,-24.881828573428265
21,-28.89201910935998
22,-35.252710992558065
23,-16.89216708786804
24,-29.453227356293205
25,-29.791895908408453
26,-29.44915849343824
27,-22.74384840907581
28,-22.088731671161774
29,-30.075052581734425
30,-25.08072193000679
31,-20.566486430020234
32,-32.69125723292582
33,-38.70331125017366
34,-20.07287663732709
35,-23.906338979971743
36,-32.2785542694016
37,-18.340376647767187
38,-29.31069844715172
39,-23.541768702077512
40,-30.46147897439042
41,-30.97054156166554
42,-24.585338585598905
43,-16.24713865843311
44,-15.298017510751468
45,-31.313132501282514
46,-29.173702784192592
47,-30.638776075852558
48,-24.089720116618874
49,-29.014337802411198
50,-15.986509698134167
51,-30.128619648502017
52,-37.46746726409288
53,-20.92170008251061
54,-22.368239966825136
55,-35.211215662697406
56,-29.3214627088883
57,-26.33484584857561
58,-29.683242380002618
59,-27.00857764397239
60,-29.86871661447425
61,-29.88631082870895
62,-18.33441689037378
63,-38.84033941902609
64,-38.83736948435412
65,-20.414473987113137
66,-24.29870960870103
67,-39.21623302478867
68,-15.34500452607276
69,-17.167865048483797
70,-33.35381935748248
71,-22.988331255882933
72,-29.584072770342956
73,-20.394206483658877
74,-26.630912566377795
75,-29.569393306049598
76,-21.872298480354125
77,-23.492707183491873
78,-21.238869784614366
79,-24.14871714313879
80,-38.99931867496323
81,-33.03501131261389
82,-13.56137895907468
83,-17.24079416937225
84,-18.91676919427744
85,-35.50867660464479
86,-30.768759197538685
87,-23.633898340383777
88,-23.183441993281647
89,-28.585471476967598
90,-27.078541581339305
91,-18.36656952842759
92,-38.14289330338669
93,-27.238092493061917
94,-26.258301824032383
95,-25.35332207607606
96,-32.48568663847645
97,-19.773129634478586
98,-21.768763901139927
99,-24.694610362951234
100,-23.247082725374923
101,-21.154268798001695
102,-34.171049491437174
103,-20.931229910511092
104,-21.36230953431358
105,-32.410392157678444
106,-34.316952938206235
107,-19.96525540873216
108,-31.032678553449482
109,-21.702430467122504
110,-35.01041612065906
111,-21.964317353400563
112,-32.6519048430007
113,-14.75486517443587
114,-18.211903505352105
115,-32.78357574073906
116,-25.14172822571053
117,-32.9269120907223
118,-26.346826825106945
119,-27.112412017459437
120,-28.77361821937126
121,-24.152498747431075
122,-22.377860847071773
123,-32.092599468395264
124,-34.30096485721873
125,-23.417030708134135
126,-34.21347212283739
127,-25.8972815720264
128,-12.998267580256119
129,-23.485279923261345
130,-14.085200797102086
131,-27.01870713561079
132,-13.666335678188645
133,-18.337188578259557
134,-24.583462843466567
135,-27.621930376646723
136,-25.86879011650506
137,-26.664436450157186
138,-32.06904153184138
139,-13.923491854939723
140,-29.74298824856062
141,-30.84603727839226
142,-17.9525374362995
143,-34.69774850661141
144,-18.256931733769548
145,-21.348654358960854
146,-12.434846004816325
