episode,total_reward
0,-196.49196719038912
1,-157.92446072268518
2,-209.35624337668133
3,-214.8555589979639
4,-149.55780888045788
5,-150.44557000059262
6,-191.39838566085817
7,-178.63768655173908
8,-187.23778416340357
9,-163.26484256795902
10,-213.08539973933281
11,-210.1466525341874
12,-189.61991997740847
13,-220.26279697910692
14,-201.18557317915386
15,-163.08622933324997
16,-198.33753417886558
17,-160.24048461753674
18,-213.05798029837217
19,-186.28554505204522
20,-182.40878754215464
21,-168.1876851947915
22,-223.02606848873756
23,-183.2799419436507
24,-175.42312834610038
25,-177.60807823267143
26,-203.0553810445579
27,-198.24220810281778
28,-199.60565382142622
29,-200.1273075353936
30,-226.24094786859072
31,-176.05138333062033
32,-173.01810639508298
33,-164.38757608621245
34,-205.47097145760281
35,-220.3129735392338
36,-184.44573676711622
37,-163.63325190427943
38,-164.08139893102773
39,-206.47069326398827
40,-209.14820620383804
41,-203.36840141802176
42,-168.62900764543645
43,-194.40178629600658
44,-191.0773748688117
45,-194.01378251807813
46,-212.8548294101212
47,-194.1550945677689
48,-207.2888528775899
49,-189.66446226174787
50,-196.04254016752552
