episode,total_reward
0,-125.1520795587852
1,-120.60642062328388
2,-97.08343063276777
3,-117.10420903733188
4,-90.30025003485449
5,-108.96422583579067
6,-64.48218947667266
7,-123.26493110549245
8,-92.7416514538963
9,-103.73198088891772
10,-153.3583066719992
11,-118.82524412921448
12,-161.70237144288004
13,-140.35421395746621
14,-122.86975248576123
15,-96.35512319988942
16,-107.11059085967854
17,-198.31825470001428
18,-161.90440223038038
19,-97.69628945978123
20,-138.05024388488113
21,-70.06213942518761
22,-132.04782331973013
23,-105.33485000770096
24,-87.52099593343993
25,-110.98071699633677
26,-107.56008825348935
27,-151.76020746790016
28,-122.32247963486216
29,-114.17166528249012
30,-77.56215456126375
31,-100.35805212978542
32,-122.95143454154231
33,-105.6773451333864
34,-67.55748781843737
