episode,success,total_line_pl_mw,error,warn
0,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
1,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
2,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
3,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
4,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
5,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
6,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
7,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
8,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
9,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
10,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
11,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
12,False,,"pandapower runopp failed: KeyError: ""None of [Index([-1], dtype='object')] are in the [columns]""",
